Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
305000;546;33768;1119000;313500;117324;14240;2558;391;882
162250;681;21077;2768500;333500;67694;13246;1389;720;910
7516750;658;130886;1188000;344000;171653;88840;1199;834;907
436500;666;33771;2656000;320500;154573;19236;1920;521;931
124750;569;21024;1444500;337000;87274;9000;2397;417;894
915500;806;40528;2587500;350000;51009;29536;1290;775;966
2160500;730;72940;1348000;386500;73677;42828;1747;572;964
303250;658;30008;1773500;331000;10561;14784;1705;587;919
1431000;746;56403;2033500;369000;65934;35988;1422;703;959
3259000;858;69737;23500;363000;17526;64177;1032;969;978
137250;759;16279;2564000;319000;132510;12000;1142;876;938
60750;548;15811;2496000;332500;55305;5717;2739;365;845
1549750;747;54406;1466000;367000;53973;45588;1149;870;935
869250;613;44702;209000;348000;36357;35367;1184;844;953
281000;622;29904;1619500;321500;110556;15627;1816;551;917
588750;810;31851;2343000;321500;137545;27171;1095;913;961
1709250;830;55301;2496500;333000;165336;42894;1131;884;969
1065500;788;43064;945500;363500;74511;35652;1091;917;947
2500750;725;70720;2654500;322000;102661;55709;1184;844;913
731750;822;38305;805500;353500;54028;28500;1227;815;976
1015250;795;43270;1874500;333000;157584;30712;1426;701;966
931750;730;43134;1696000;363000;34611;30602;1271;787;959
135750;611;19849;1757000;325500;130914;9253;2214;452;895
997250;759;46328;2767500;364000;55109;31460;1412;708;959
887500;780;40361;2055000;356500;48013;32039;1113;899;966
151750;606;23548;2276000;350000;86348;9962;2201;454;913
2270250;795;63026;129500;329000;121042;51104;1274;785;975
648500;755;34121;1792500;358000;34854;26864;1233;811;949
136500;630;19812;2480500;342000;47045;11096;1890;529;904
714750;778;37101;2402500;328500;142667;29313;1096;912;958
96750;730;14841;2451500;341000;57381;11406;1219;820;898
8000;690;4301;2462000;332000;54462;3500;1154;866;800
330750;799;23162;2464000;351000;57339;20576;1028;972;937
478500;667;36249;1293500;332000;155556;19909;1851;540;930
770750;712;39630;2184000;343000;150524;27416;1480;676;953
318000;765;25239;2433500;351000;56310;19312;1104;906;940
1499000;745;54708;1079000;372500;30784;39702;1235;810;935
595750;738;37980;2087000;333500;159179;23742;1577;634;948
1199250;736;52000;2814500;342500;157380;28374;1736;576;961
2448500;810;65827;1719000;383000;38524;51888;1244;804;976
305250;625;32202;1772500;332000;126158;15271;2086;479;927
105500;627;18822;2560500;335000;163009;8268;2136;468;905
888500;794;41692;1631000;349500;174495;31113;1256;796;956
1816250;791;58979;2292500;346000;172694;41138;1422;703;970
65000;718;13200;1444000;344000;52696;9000;1408;710;912
727000;795;39604;94000;362000;43977;28591;1232;812;965
275750;602;27065;2479500;345500;154855;19009;1390;720;924
223000;618;28200;1137000;335000;142927;13465;2068;484;920
1276750;772;50249;1480500;365000;31159;33605;1333;750;962
1395000;816;54289;2913500;337500;139857;36091;1414;707;973
59750;716;12806;2551000;345500;38660;6488;1973;507;905
174500;674;23033;2902000;358000;62879;10020;2224;450;955
400250;655;31894;1598000;358000;13601;18651;1487;672;934
699750;773;37822;2699000;372500;65807;27309;1372;729;957
581000;709;37202;2791000;372500;53746;21578;1681;595;948
1897750;844;55301;1927000;349500;142716;48000;1044;958;976
1179500;826;46481;1563000;339500;101793;33500;1251;799;973
8224750;651;157709;597500;422500;12450;78135;1805;554;958
1765750;814;59053;2531500;370000;21351;41775;1396;716;964
503500;726;34384;2590500;366000;49128;21810;1623;616;948
269500;756;22940;2449000;362000;69590;15039;1398;715;923
205250;694;22655;471000;343000;112036;12728;1767;566;913
2219750;765;64765;1983500;396000;55697;43241;1433;698;974
2274250;812;61321;2148500;394500;54625;51149;1111;900;972
392000;730;29415;2863500;362000;31799;19000;1478;677;956
1154000;778;46003;1126500;345500;127493;32633;1454;688;937
539250;540;42172;1444000;345000;100244;21913;2273;440;830
208750;737;23712;1583500;362000;47564;15192;1425;702;948
105500;734;15232;2277500;350000;156801;9959;1383;723;922
2407750;822;65115;1162500;352500;132510;53682;1064;940;965
68500;672;13901;1916500;345000;127694;7381;1804;554;881
2018500;626;70445;1833000;355000;170605;43540;1486;673;886
124750;801;16325;2890000;359000;49970;10500;1145;873;980
962750;706;47207;2123000;347000;118465;30720;1338;748;926
316000;757;27586;1328000;347500;133531;18654;1257;796;965
232250;800;21541;2392500;367500;68199;16500;1162;861;944
263250;664;26856;2473000;350500;151049;15845;1891;529;929
3330500;686;91396;2618000;347500;95336;57490;1580;633;915
1259500;715;53640;191500;364000;163761;37616;1516;660;962
6766000;808;107299;384500;400500;4276;90491;1128;886;961
892250;724;44525;528500;365500;167681;29945;1373;728;923
678750;754;33871;587500;382000;81511;29929;1041;961;951
91000;653;16808;1318500;363000;59621;9500;1567;638;926
38750;678;10548;827500;359500;84560;6711;1451;689;849
1826750;766;56573;990000;351500;134284;47628;1175;851;943
848500;728;43046;2076000;379500;30735;31228;1438;696;959
867500;722;44045;2758000;394000;87397;26344;1629;614;958
302750;753;24870;2459500;372500;59826;16250;1426;701;933
1624750;710;67535;1516500;411500;62676;35362;1850;540;950
807000;705;44342;1602500;362500;172875;26191;1519;658;952
2878750;772;73335;1766000;385000;174523;56885;1210;827;958
